# NexusSec - fonti dei tool (link attivi e funzionanti)
# Generato da build/nxs-sources-check.py - NON modificare a mano.
# Tool totali: 433   Rotti: 0
#
# TOOL                    STATO  METODO    FONTE
rfcat                   OK     kali      kali-rolling apt:rfcat
rfdump                  OK     kali      kali-rolling apt:rfdump
rfkill                  OK     kali      kali-rolling apt:rfkill
rifiuti                 OK     kali      kali-rolling apt:rifiuti
rifiuti2                OK     kali      kali-rolling apt:rifiuti2
rizin                   OK     kali      kali-rolling apt:rizin
rizin-cutter            OK     kali      kali-rolling apt:rizin-cutter
rkhunter                OK     apk       apk:rkhunter
routersploit            OK     kali      kali-rolling apt:routersploit
rsakeyfind              OK     kali      kali-rolling apt:rsakeyfind
rsmangler               OK     kali      kali-rolling apt:rsmangler
rtpbreak                OK     kali      kali-rolling apt:rtpbreak
rtpflood                OK     kali      kali-rolling apt:rtpflood
rtpinsertsound          OK     kali      kali-rolling apt:rtpinsertsound
rtpmixsound             OK     kali      kali-rolling apt:rtpmixsound
safecopy                OK     kali      kali-rolling apt:safecopy
sakis3g                 OK     kali      kali-rolling apt:sakis3g
samdump2                OK     kali      kali-rolling apt:samdump2
sbd                     OK     kali      kali-rolling apt:sbd
scalpel                 OK     kali      kali-rolling apt:scalpel
scrounge-ntfs           OK     kali      kali-rolling apt:scrounge-ntfs
sctpscan                OK     kali      kali-rolling apt:sctpscan
seahorse                OK     kali      kali-rolling apt:seahorse
seclists                OK     kali      kali-rolling apt:seclists
set                     OK     kali      kali-rolling apt:set
sfuzz                   OK     kali      kali-rolling apt:sfuzz
shellnoob               OK     kali      kali-rolling apt:shellnoob
shellter                OK     kali      kali-rolling apt:shellter
sherlock                OK     container docker.io/sherlock/sherlock:latest
shodan                  OK     apk       apk:py3-shodan
sidguesser              OK     kali      kali-rolling apt:sidguesser
siege                   OK     kali      kali-rolling apt:siege
siparmyknife            OK     kali      kali-rolling apt:siparmyknife
sipcrack                OK     kali      kali-rolling apt:sipcrack
sipp                    OK     kali      kali-rolling apt:sipp
sipsak                  OK     kali      kali-rolling apt:sipsak
sipvicious              OK     kali      kali-rolling apt:sipvicious
skipfish                OK     kali      kali-rolling apt:skipfish
sleuthkit               OK     apk       apk:sleuthkit
slowhttptest            OK     kali      kali-rolling apt:slowhttptest
smbmap                  OK     pip       pypi:smbmap
smtp-user-enum          OK     kali      kali-rolling apt:smtp-user-enum
sniffjoke               OK     kali      kali-rolling apt:sniffjoke
snmp-check              OK     kali      kali-rolling apt:snmpcheck
snmpwalk                OK     apk       apk:net-snmp-tools
socat                   OK     apk       apk:socat
sparrow-wifi            OK     kali      kali-rolling apt:sparrow-wifi
spiderfoot              OK     kali      kali-rolling apt:spiderfoot
spike                   OK     kali      kali-rolling apt:spike
spooftooph              OK     kali      kali-rolling apt:spooftooph
sqldict                 OK     kali      kali-rolling apt:sqldict
sqlitebrowser           OK     kali      kali-rolling apt:sqlitebrowser
sqlmap                  OK     apk       apk:sqlmap
sqlninja                OK     kali      kali-rolling apt:sqlninja
sqlsus                  OK     kali      kali-rolling apt:sqlsus
ssdeep                  OK     kali      kali-rolling apt:ssdeep
ssldump                 OK     kali      kali-rolling apt:ssldump
sslh                    OK     kali      kali-rolling apt:sslh
sslscan                 OK     apk       apk:sslscan
sslsniff                OK     kali      kali-rolling apt:sslsniff
sslsplit                OK     kali      kali-rolling apt:sslsplit
sslyze                  OK     kali      kali-rolling apt:sslyze
sstimap                 OK     kali      kali-rolling apt:sstimap
statsprocessor          OK     kali      kali-rolling apt:statsprocessor
stegcracker             OK     kali      kali-rolling apt:stegcracker
steghide                OK     apk       apk:steghide
stegosuite              OK     kali      kali-rolling apt:stegosuite
stegseek                OK     container docker.io/rickdejager/stegseek:latest
stegsnow                OK     kali      kali-rolling apt:stegsnow
strace                  OK     apk       apk:strace
subfinder               OK     container docker.io/projectdiscovery/subfinder:latest
subjack                 OK     kali      kali-rolling apt:subjack
sublist3r               OK     kali      kali-rolling apt:sublist3r
sucrack                 OK     kali      kali-rolling apt:sucrack
swaks                   OK     kali      kali-rolling apt:swaks
t50                     OK     kali      kali-rolling apt:t50
tcpdump                 OK     apk       apk:tcpdump
tcpflow                 OK     kali      kali-rolling apt:tcpflow
tcpick                  OK     kali      kali-rolling apt:tcpick
tcpreplay               OK     kali      kali-rolling apt:tcpreplay
termineter              OK     kali      kali-rolling apt:termineter
testdisk                OK     apk       apk:testdisk
thc-ipv6                OK     kali      kali-rolling apt:thc-ipv6
thc-pptp-bruter         OK     kali      kali-rolling apt:thc-pptp-bruter
thc-ssl-dos             OK     kali      kali-rolling apt:thc-ssl-dos
theharvester            OK     container ghcr.io/laramies/theharvester:latest
tinja                   OK     kali      kali-rolling apt:tinja
tlssled                 OK     kali      kali-rolling apt:tlssled
tnscmd10g               OK     kali      kali-rolling apt:tnscmd10g
tookie-osint            OK     kali      kali-rolling apt:tookie-osint
tor                     OK     apk       apk:tor
torsocks                OK     apk       apk:torsocks
truecrack               OK     kali      kali-rolling apt:truecrack
tshark                  OK     apk       apk:tshark
twofi                   OK     kali      kali-rolling apt:twofi
ubertooth               OK     kali      kali-rolling apt:ubertooth
udptunnel               OK     kali      kali-rolling apt:udptunnel
uhd-host                OK     kali      kali-rolling apt:uhd-host
undbx                   OK     kali      kali-rolling apt:undbx
unhide                  OK     kali      kali-rolling apt:unhide
unicornscan             OK     kali      kali-rolling apt:unicornscan
uniscan                 OK     kali      kali-rolling apt:uniscan
uniscan-gui             OK     kali      kali-rolling apt:uniscan
unix-privesc-check      OK     kali      kali-rolling apt:unix-privesc-check
unrar                   OK     kali      kali-rolling apt:unrar
upx                     OK     kali      kali-rolling apt:upx-ucl
urlcrazy                OK     kali      kali-rolling apt:urlcrazy
urlsnarf                OK     kali      kali-rolling apt:dsniff
uro                     OK     kali      kali-rolling apt:uro
veil                    OK     kali      kali-rolling apt:veil
vinetto                 OK     kali      kali-rolling apt:vinetto
voiphopper              OK     kali      kali-rolling apt:voiphopper
volatility3             OK     apk       apk:volatility3
wafw00f                 OK     pip       pypi:wafw00f
wapiti                  OK     kali      kali-rolling apt:wapiti
wash                    OK     kali      kali-rolling apt:reaver
watobo                  OK     kali      kali-rolling apt:watobo
wce                     OK     kali      kali-rolling apt:wce
webacoo                 OK     kali      kali-rolling apt:webacoo
webscarab               OK     kali      kali-rolling apt:webscarab
webshells               OK     kali      kali-rolling apt:webshells
webspy                  OK     kali      kali-rolling apt:dsniff
weevely                 OK     kali      kali-rolling apt:weevely
wfuzz                   OK     kali      kali-rolling apt:wfuzz
whatweb                 OK     container docker.io/secsi/whatweb:latest
whois                   OK     apk       apk:whois
wifi-honey              OK     kali      kali-rolling apt:wifi-honey
wifiphisher             OK     kali      kali-rolling apt:wifiphisher
wifite                  OK     pip       git+https://github.com/derv82/wifite2.git   (pip da git)
winregfs                OK     kali      kali-rolling apt:winregfs
wireshark               OK     apk       apk:wireshark
wordlists               OK     kali      kali-rolling apt:wordlists
wpprobe                 OK     kali      kali-rolling apt:wpprobe
wpscan                  OK     container docker.io/wpscanteam/wpscan:latest
xmount                  OK     kali      kali-rolling apt:xmount
xplico                  OK     kali      kali-rolling apt:xplico
xsser                   OK     kali      kali-rolling apt:xsser
yara                    OK     apk       apk:yara
yersinia                OK     kali      kali-rolling apt:yersinia
zaproxy                 OK     apk       apk:zaproxy
zenmap                  OK     kali      kali-rolling apt:zenmap
